bundle_id,valid,validation_errors,event_count_precision,event_count_recall,event_count_f1,event_count_mae,word_link_accuracy,invalid_link_rate,boundary_error_ms
timit_FADG0,True,[],0.6019417475728155,0.6966292134831461,0.6458333333333333,6.8,0.7636363636363637,0.13157894736842105,322.6698588709678
timit_FAKS0,True,[],0.7596153846153846,0.7247706422018348,0.7417840375586855,6.6,0.6029411764705882,0.17721518987341772,496.0977056962025
timit_FASW0,True,[],0.8686868686868687,0.6099290780141844,0.7166666666666667,8.4,0.6944444444444444,0.2236842105263158,524.4920058139535
timit_FAWF0,True,[],0.6868686868686869,0.576271186440678,0.6267281105990783,5.0,0.7586206896551724,0.16883116883116883,382.9517463235294
timit_FCAL1,True,[],0.6862745098039216,0.660377358490566,0.6730769230769231,3.2,0.5689655172413793,0.13333333333333333,553.7138392857142
timit_FCAU0,True,[],0.7685185185185185,0.664,0.7124463519313305,5.0,0.6515151515151515,0.12195121951219512,594.1720632530121
timit_FCFT0,True,[],0.5930232558139535,0.6455696202531646,0.6181818181818183,2.6,0.717391304347826,0.14705882352941177,266.23590686274514
timit_FCMH0,True,[],0.6888888888888889,0.6391752577319587,0.6631016042780747,3.0,0.7962962962962963,0.16216216216216217,308.3699596774194
timit_FCMH1,True,[],0.8631578947368421,0.6666666666666666,0.7522935779816514,6.4,0.625,0.1625,377.06897865853654
timit_FCMR0,True,[],0.8571428571428571,0.6,0.7058823529411764,6.6,0.7272727272727273,0.21052631578947367,405.14299242424244
timit_FCRH0,True,[],0.8333333333333334,0.594059405940594,0.6936416184971098,5.8,0.8113207547169812,0.20689655172413793,249.99583333333334
timit_FDAC1,True,[],0.9279279279279279,0.5255102040816326,0.6710097719869706,17.0,0.6790123456790124,0.16049382716049382,806.7666868932039
timit_FDHC0,True,[],0.7125,0.6705882352941176,0.6909090909090909,4.6,0.7916666666666666,0.22950819672131148,265.12993421052636
timit_FDMS0,True,[],0.6494845360824743,0.6237623762376238,0.6363636363636364,6.0,0.8490566037735849,0.1267605633802817,273.7624007936508
timit_FDRD1,True,[],0.7352941176470589,0.6880733944954128,0.7109004739336492,4.6,0.7536231884057971,0.13253012048192772,430.5920833333334
timit_FDRW0,True,[],0.8313253012048193,0.69,0.7540983606557377,5.4,0.7213114754098361,0.14925373134328357,358.7536231884058
timit_FEDW0,True,[],0.9506172839506173,0.6311475409836066,0.7586206896551724,8.2,0.696969696969697,0.1323529411764706,436.7280844155844
timit_FELC0,True,[],0.7980769230769231,0.6240601503759399,0.70042194092827,7.4,0.7246376811594203,0.11494252873563218,515.7804969879518
timit_FGJD0,True,[],0.9090909090909091,0.6870229007633588,0.7826086956521738,6.4,0.6842105263157895,0.1282051282051282,408.64722222222224
timit_FGMD0,True,[],0.7066666666666667,0.5760869565217391,0.6347305389221557,4.2,0.775,0.14545454545454545,465.06073113207555
timit_FGWR0,True,[],0.7422680412371134,0.6428571428571429,0.6889952153110048,6.6,0.7586206896551724,0.17567567567567569,400.4322916666667
timit_FHES0,True,[],0.7586206896551724,0.6666666666666666,0.7096774193548386,3.6,0.6551724137931034,0.13432835820895522,565.2310606060606
timit_FHEW0,True,[],0.7788461538461539,0.6864406779661016,0.7297297297297298,4.8,0.7323943661971831,0.15,497.4625771604938
timit_FISB0,True,[],0.9247311827956989,0.5733333333333334,0.7078189300411523,11.4,0.7058823529411765,0.14492753623188406,514.6642441860465
timit_FJAS0,True,[],0.881578947368421,0.6090909090909091,0.7204301075268817,6.8,0.8,0.21052631578947367,520.1152052238806
timit_FJCS0,True,[],0.8024691358024691,0.65,0.7182320441988951,3.8,0.8035714285714286,0.18333333333333332,403.2668269230769
timit_FJEM0,True,[],0.9032258064516129,0.6511627906976745,0.7567567567567568,7.2,0.6323529411764706,0.23943661971830985,527.2444196428572
timit_FJLM0,True,[],0.9270833333333334,0.6953125,0.7946428571428571,6.4,0.704225352112676,0.10810810810810811,491.4462780898876
timit_FJMG0,True,[],0.7528089887640449,0.638095238095238,0.6907216494845361,4.0,0.7413793103448276,0.15714285714285714,356.01725746268653
timit_FJRE0,True,[],0.6263736263736264,0.6333333333333333,0.6298342541436464,1.4,0.6666666666666666,0.1506849315068493,590.6151315789474
timit_FJSA0,True,[],0.5029585798816568,0.6910569105691057,0.5821917808219178,10.0,0.7051282051282052,0.10344827586206896,635.7327205882352
timit_FJSJ0,True,[],0.6756756756756757,0.5813953488372093,0.6250000000000001,3.2,0.7857142857142857,0.19642857142857142,375.79750000000007
timit_FJWB0,True,[],0.83,0.6384615384615384,0.7217391304347824,6.4,0.7361111111111112,0.136986301369863,368.91754518072287
timit_FKMS0,True,[],0.6470588235294118,0.5555555555555556,0.5978260869565217,7.6,0.7777777777777778,0.13636363636363635,493.6994318181818
timit_FLAS0,True,[],0.71875,0.7263157894736842,0.7225130890052356,3.8,0.6885245901639344,0.15789473684210525,418.2952898550725
timit_FLBW0,True,[],0.7160493827160493,0.6987951807228916,0.7073170731707318,1.6,0.8269230769230769,0.1875,295.98706896551727
timit_FLKD0,True,[],0.8452380952380952,0.6574074074074074,0.7395833333333334,4.8,0.7796610169491526,0.1791044776119403,250.74207746478876
timit_FLNH0,True,[],0.6195652173913043,0.6404494382022472,0.6298342541436465,3.8,0.803921568627451,0.11267605633802817,331.83771929824564
timit_FMAF0,True,[],0.6829268292682927,0.6222222222222222,0.6511627906976744,2.8,0.7708333333333334,0.20634920634920634,240.62779017857142
timit_FMAH0,True,[],0.8082191780821918,0.5841584158415841,0.67816091954023,5.6,0.723404255319149,0.18,531.1626059322033
