record_id,ok,status
timit_FADG0,True,skipped_existing
timit_FAKS0,True,skipped_existing
timit_FASW0,True,skipped_existing
timit_FAWF0,True,skipped_existing
timit_FCAL1,True,skipped_existing
timit_FCAU0,True,skipped_existing
timit_FCFT0,True,skipped_existing
timit_FCMH0,True,skipped_existing
timit_FCMH1,True,skipped_existing
timit_FCMR0,True,skipped_existing
timit_FCRH0,True,skipped_existing
timit_FDAC1,True,skipped_existing
timit_FDHC0,True,skipped_existing
timit_FDMS0,True,skipped_existing
timit_FDRD1,True,skipped_existing
timit_FDRW0,True,skipped_existing
timit_FEDW0,True,skipped_existing
timit_FELC0,True,skipped_existing
timit_FGJD0,True,skipped_existing
timit_FGMD0,True,skipped_existing
timit_FGWR0,True,skipped_existing
timit_FHES0,True,skipped_existing
timit_FHEW0,True,skipped_existing
timit_FISB0,True,skipped_existing
timit_FJAS0,True,skipped_existing
timit_FJCS0,True,skipped_existing
timit_FJEM0,True,skipped_existing
timit_FJLM0,True,skipped_existing
timit_FJMG0,True,skipped_existing
timit_FJRE0,True,skipped_existing
timit_FJSA0,True,skipped_existing
timit_FJSJ0,True,skipped_existing
timit_FJWB0,True,ok
timit_FKMS0,True,ok
timit_FLAS0,True,ok
timit_FLBW0,True,ok
timit_FLKD0,True,ok
timit_FLNH0,True,ok
timit_FMAF0,True,ok
timit_FMAH0,True,ok
