record_id,ok,status
timit_FADG0,True,ok
timit_FAKS0,True,ok
timit_FASW0,True,ok
timit_FAWF0,False,invalid_final
timit_FCAL1,False,invalid_final
timit_FCAU0,True,ok
timit_FCFT0,False,invalid_final
timit_FCMH0,False,invalid_final
timit_FCMH1,True,ok
timit_FCMR0,True,ok
timit_FCRH0,False,invalid_final
timit_FDAC1,False,invalid_final
timit_FDHC0,False,invalid_final
timit_FDMS0,False,invalid_final
timit_FDRD1,False,invalid_final
timit_FDRW0,False,invalid_final
timit_FEDW0,True,ok
timit_FELC0,True,ok
timit_FGJD0,True,ok
timit_FGMD0,True,ok
timit_FGWR0,False,invalid_final
timit_FHES0,True,ok
timit_FHEW0,False,invalid_final
timit_FISB0,True,ok
timit_FJAS0,True,ok
timit_FJCS0,True,ok
timit_FJEM0,False,invalid_final
timit_FJLM0,True,ok
timit_FJMG0,True,ok
timit_FJRE0,True,ok
timit_FJSA0,False,invalid_final
timit_FJSJ0,False,invalid_final
timit_FJWB0,True,ok
timit_FKMS0,False,invalid_final
timit_FLAS0,False,invalid_final
timit_FLBW0,True,ok
timit_FLKD0,False,invalid_final
timit_FLNH0,False,invalid_final
timit_FMAF0,False,invalid_final
timit_FMAH0,True,ok
