window_id,valid,validation_errors,speaker_match,event_count_precision,event_count_recall,event_count_f1,event_count_mae,event_attribution_accuracy
childes_adam0901_target_0000_0039,True,[],0.65,0.08823529411764706,0.42857142857142855,0.14634146341463417,0.775,0.6666666666666666
childes_adam0902_target_0000_0039,True,[],0.75,0.7407407407407407,0.7142857142857143,0.7272727272727273,0.325,0.45
childes_adam0903_target_0000_0039,True,[],0.675,0.7857142857142857,0.36666666666666664,0.5,0.55,0.0
childes_adam0903_target_0005_0044,True,[],0.75,0.8636363636363636,0.6785714285714286,0.76,0.3,0.47368421052631576
childes_adam0915_target_0048_0087,True,[],1.0,0.45454545454545453,0.37037037037037035,0.40816326530612246,0.575,1.0
childes_adam0915_target_0059_0098,True,[],0.6,0.5833333333333334,0.45161290322580644,0.509090909090909,0.575,0.7142857142857143
childes_adam0915_target_0062_0101,True,[],1.0,0.7222222222222222,0.40625,0.52,0.5,1.0
childes_adam0916_target_0000_0039,True,[],0.625,0.627906976744186,0.8181818181818182,0.7105263157894738,0.45,0.37037037037037035
childes_adam0916_target_0003_0042,True,[],1.0,0.6744186046511628,0.8529411764705882,0.7532467532467532,0.375,1.0
childes_adam0916_target_0018_0057,True,[],1.0,0.6829268292682927,0.8235294117647058,0.7466666666666667,0.375,1.0
childes_adam0917_target_0000_0039,True,[],1.0,0.4166666666666667,0.7142857142857143,0.5263157894736842,0.3,1.0
childes_adam0917_target_0009_0048,True,[],1.0,0.4,1.0,0.5714285714285715,0.375,1.0
childes_adam0923_target_0000_0039,True,[],1.0,0.5,0.5294117647058824,0.5142857142857143,0.225,1.0
childes_adam0923_target_0013_0052,True,[],0.825,0.3333333333333333,0.7777777777777778,0.4666666666666666,0.3,0.5714285714285714
childes_alice3_target_0015_0054,True,[],0.6,0.5526315789473685,0.9545454545454546,0.7000000000000001,0.4,0.9047619047619048
childes_amy_0000_0039,True,[],0.625,0.5,1.0,0.6666666666666666,0.1,0.0
childes_amy_0040_0079,True,[],1.0,0.36363636363636365,0.7272727272727273,0.4848484848484849,0.375,1.0
childes_betty_0000_0039,True,[],0.625,0.08641975308641975,1.0,0.1590909090909091,1.85,0.23076923076923078
childes_betty_0040_0079,True,[],0.7,0.3333333333333333,1.0,0.5,0.25,0.8
